round_id,agent_count,byzantine_count,byzantine_ratio,threshold,consensus_reached,consensus_value,ground_truth,accuracy,convergence_time_ms,consensus_similarity,outlier_count
149,3,0,0.00,0.90,true,95.2118,95.2118,1.0000,0,1.0000,0
150,3,0,0.00,0.95,true,103.4218,103.4218,1.0000,0,1.0000,0
151,3,0,0.00,0.95,true,97.9916,97.9916,1.0000,0,1.0000,0
152,3,0,0.00,0.95,true,98.1203,98.1203,1.0000,0,1.0000,0
153,3,0,0.00,0.95,true,100.5836,100.5836,1.0000,0,1.0000,0
154,3,0,0.00,0.95,true,104.1813,104.1813,1.0000,0,1.0000,0
155,3,0,0.00,0.95,true,102.9795,102.9795,1.0000,0,1.0000,0
156,3,0,0.00,0.95,true,100.9518,100.9518,1.0000,0,1.0000,0
157,3,0,0.00,0.95,true,104.6719,104.6719,1.0000,0,1.0000,0
158,3,0,0.00,0.95,true,97.4569,97.4569,1.0000,0,1.0000,0
159,3,0,0.00,0.95,true,105.3603,105.3603,1.0000,0,1.0000,0
160,3,0,0.00,0.95,true,100.0872,100.0872,1.0000,0,1.0000,0
161,3,0,0.00,0.95,true,102.8344,102.8344,1.0000,0,1.0000,0
162,3,0,0.00,0.95,true,97.6871,97.6871,1.0000,0,1.0000,0
163,3,0,0.00,0.95,true,100.9579,100.9579,1.0000,0,1.0000,0
164,3,0,0.00,0.95,true,101.1136,101.1136,1.0000,0,1.0000,0
165,3,0,0.00,0.95,true,102.8939,102.8939,1.0000,0,1.0000,0
166,3,0,0.00,0.95,true,99.9308,99.9308,1.0000,0,1.0000,0
167,3,0,0.00,0.95,true,100.2788,100.2788,1.0000,0,1.0000,0
168,3,0,0.00,0.95,true,91.7194,91.7194,1.0000,0,1.0000,0
169,3,0,0.00,0.95,true,100.8910,100.8910,1.0000,0,1.0000,0
170,3,0,0.00,0.95,true,96.1982,96.1982,1.0000,0,1.0000,0
171,3,0,0.00,0.95,true,101.3910,101.3910,1.0000,0,1.0000,0
172,3,0,0.00,0.95,true,94.6374,94.6374,1.0000,0,1.0000,0
173,3,0,0.00,0.95,true,100.3268,100.3268,1.0000,0,1.0000,0
174,3,0,0.00,0.95,true,102.5469,102.5469,1.0000,0,1.0000,0
175,3,0,0.00,0.95,true,98.1537,98.1537,1.0000,0,1.0000,0
176,3,0,0.00,0.95,true,102.1513,102.1513,1.0000,0,1.0000,0
177,3,0,0.00,0.95,true,97.8616,97.8616,1.0000,0,1.0000,0
178,3,0,0.00,0.95,true,100.4754,100.4754,1.0000,0,1.0000,0
179,3,0,0.00,0.95,true,100.7524,100.7524,1.0000,0,1.0000,0
180,3,0,0.00,0.70,true,101.2462,101.2462,1.0000,0,1.0000,0
